Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
1680272209.505157,161385,1680272209,504258355,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221544521159516,0.4651263209920263,0.36056068143452785,-2.205374046533278,-0.41146848731824676,2.62255326715166,0.15051707443218215,0.0004926703351962431,-0.0009523325977142706,0.00022944794747422682,-0.00900658579675433,0.00041101437365545013,0.00029138920470164113,-0.0006809846227886928,0.1344602108001709,-35.893768310546875,5.327017784118652,16.57997703552246,0.4453074634075165,2.34439754486084,0.1455070674419403
1680272209.5067713,161386,1680272209,506181564,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.322157987207343,0.4651263184205655,0.36055951928661745,-2.2053958606924438,-0.4114707720669217,2.6225532671040033,0.15051587552870632,-0.00044635996236707016,-0.00044654322545095986,-0.0002593146427124128,-0.01021532278951386,-0.0007280653336812319,0.0008583285311880636,-0.001331526203133802,0.1820676326751709,-35.893768310546875,5.350821495056152,16.60774803161621,0.4645335376262665,2.34439754486084,0.1583244502544403
1680272209.507875,161387,1680272209,507324397,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221601421453824,0.4651226077446929,0.3605630902422731,-2.205401192678017,-0.4114700153875467,2.622553267100032,0.1505244946666245,-0.00047446267617257153,-0.0013350307058426322,0.0015238062814985796,-0.008819336878141062,0.0003269497201372119,0.00021462113198106577,0.0025200530230875522,0.1820676326751709,-35.842193603515625,5.275443077087402,16.55617332458496,0.4581248462200165,2.34439754486084,0.0924064889550209
1680272209.5096452,161388,1680272209,509182509,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221648103572066,0.4651188971878693,0.36056038570381505,-2.205418723010066,-0.4114692581633365,2.622553267098267,0.15052531086533907,-0.0017123549415452941,-0.002499553507358557,0.00013704770373238205,-0.008157750801494747,0.00011902928813509718,-0.00011097255637804248,0.002459384662749221,0.2336423397064209,-35.790618896484375,5.299246788024902,16.52840232849121,0.4517161548137665,2.34439754486084,0.0795891061425209
1680272209.5106864,161389,1680272209,510204569,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221648901697265,0.46512060970066393,0.3605638742360665,-2.2054298541936252,-0.41147395243420354,2.622554782418276,0.15052139810324552,-0.0010655106357267906,-0.0012508992301690984,0.0011531732380740997,-0.008869964438216854,-0.0012993061548277566,0.00021912248088151097,0.0008514494348949733,0.2336423397064209,-35.814422607421875,5.251639366149902,16.52840232849121,0.4645335376262665,2.33158016204834,0.1189567819237709
1680272209.512379,161390,1680272209,512209761,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221633520795273,0.4651264261903847,0.3605638486288043,-2.205440081362641,-0.411473348490209,2.6225532670980707,0.15052316056857906,0.00031600257673583586,0.0010541886170488555,0.0006249492544726163,-0.009678593150495017,-0.001496248084234729,-0.00039084246950164944,0.0016363112131625827,0.1820676326751709,-35.865997314453125,5.251639366149902,16.52840232849121,0.4773509204387665,2.34439754486084,0.1061393991112709
1680272209.5135267,161391,1680272209,513211540,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.322166315518774,0.4651245541618471,0.3605659170376545,-2.205452645746769,-0.41146861829463893,2.622553267098049,0.15052251275080153,-0.0011742799759479343,0.000891961260064147,0.0011206647564022763,-0.00857746432999568,0.00016473548894173416,0.0001794948135771273,0.0016258213958189587,0.2098386287689209,-35.865997314453125,5.223868370056152,16.50459861755371,0.4453074634075165,2.34439754486084,0.1125480905175209
1680272209.5157967,161392,1680272209,515246353,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221681353171044,0.46512220039146435,0.3605627619392227,-2.205468934560567,-0.41147002895977586,2.622554024758125,0.15052025197614743,-0.001832635462232661,0.0008314693682575507,0.000404195647104252,-0.008401025452458234,-0.0001681856234552685,0.0008618186791128756,0.000536748023907973,0.2336423397064209,-35.865997314453125,5.275443077087402,16.48079490661621,0.4581248462200165,2.33798885345459,0.1317741572856903
1680272209.5175087,161393,1680272209,517256554,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221681472368376,0.4651240846286337,0.3605639145797364,-2.2054876130967274,-0.41147395390590663,2.6225516035038146,0.15051604819389014,-0.0009368386467666513,0.00046766253560084133,0.0005643016564504345,-0.008662395536738112,-0.0010711461947461639,-0.0003441407516412549,-0.0017255940914069287,0.2336423397064209,-35.865997314453125,5.251639366149902,16.50459861755371,0.4645335376262665,2.33158016204834,0.1583244502544403
1680272209.5197446,161394,1680272209,519174742,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7']",-1.3221627252478332,0.4651225291276666,0.3605642052986722,-2.205496168180038,-0.4114703183404633,2.6225522074599166,0.1505197298817721,0.0015168177255065504,-0.0005412568809516445,0.0005582849648855769,-0.008526797300497258,-0.00018922274481933144,-0.0004944004919530032,0.0004110058792150212,0.1582639217376709,-35.842193603515625,5.275443077087402,16.52840232849121,0.4517161548137665,2.34439754486084,0.1061393991112709
