Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1680272154.0501935,128396,1680272154,48397266,panda_K,1.3722759705157688,0.01626350517836625,-0.2115936809972106,-0.2452573478180255,0.009817888375698983,0.09201502346355618
1680272154.0508103,128397,1680272154,50429814,panda_K,1.35982719636573,0.03809570369656878,-0.20718304914308494,-0.24506659909442796,0.010554520655754636,0.09203132528041297
1680272154.05427,128398,1680272154,52387645,panda_K,1.3550155416598106,0.04701508879304318,-0.21341142306918545,-0.24670695051849315,0.00956156138899706,0.09229088650355019
1680272154.0542724,128399,1680272154,53391085,panda_K,1.354620950548685,0.0506155384772979,-0.21270569956766272,-0.2476105477515097,0.009071499757958595,0.09237734787238833
1680272154.055508,128400,1680272154,55380643,panda_K,1.3524409993186544,0.06358881057499913,-0.20463310396244666,-0.24819152414254336,0.009184499236928607,0.09228447492343086
1680272154.0565853,128401,1680272154,56400426,panda_K,1.3476844538476278,0.07434169834540844,-0.20419089997682094,-0.247479070748023,0.010036491781064395,0.09208771469184629
1680272154.0576878,128402,1680272154,57406117,panda_K,1.3391622205033837,0.08602727270309905,-0.20461707080596625,-0.24638625280073673,0.011728126897240683,0.0917649966148656
1680272154.0599391,128403,1680272154,59365177,panda_K,1.3287951867564451,0.09629814668984815,-0.20029887337758157,-0.24537871533253353,0.014114316373451202,0.09132055204901121
1680272154.0616448,128404,1680272154,61404111,panda_K,1.3133437532707668,0.11822752590710135,-0.19285995550492085,-0.24272988368263676,0.018193410493859384,0.09027116008072729
1680272154.063838,128405,1680272154,63394258,panda_K,1.2973959042371586,0.14139003723214696,-0.18427681814239666,-0.23945150838080795,0.02285120552354266,0.08900649807041676
1680272154.0655665,128406,1680272154,65388913,panda_K,1.2659551330433436,0.18593239993248667,-0.15429833532242276,-0.23305527673824047,0.03215968088324723,0.08693893028032232
1680272154.0678487,128407,1680272154,67360727,panda_K,1.2554527851739619,0.20150510232326757,-0.14998944557810062,-0.23078893344326495,0.03499453305677893,0.08633889101709405
1680272154.068933,128408,1680272154,68391246,panda_K,1.2439470976917508,0.2235918870090151,-0.13952399738344626,-0.22795564831702897,0.03877095779109062,0.0854776111707154
1680272154.0706475,128409,1680272154,70380359,panda_K,1.223483085865263,0.25392947844779196,-0.11091409410128933,-0.22428257412985456,0.044798080571391896,0.08456541659262744
1680272154.0729036,128410,1680272154,72371620,panda_K,1.217039858576535,0.26476912209866355,-0.06111543275467561,-0.22413977497080656,0.04901139665999784,0.08397335566413831
1680272154.074543,128411,1680272154,74362505,panda_K,1.2263864697156912,0.257779410668861,-0.03583770723470735,-0.2267858792157308,0.048921076045786015,0.08389608010673816
1680272154.0756607,128412,1680272154,75394876,panda_K,1.2343402348661288,0.25426674009395633,-0.02724640197228284,-0.2281137000347918,0.04805087687415021,0.08395121538398417
1680272154.076756,128413,1680272154,76472866,panda_K,1.2437112499601939,0.2500185580986483,-0.014154807710268835,-0.22965835649646524,0.047068600492879004,0.08404728814091442
1680272154.078493,128414,1680272154,78366621,panda_K,1.2626166829723922,0.23750327489200568,0.011693341065351803,-0.23350703251450655,0.044705124985341495,0.0844431359415963
1680272154.0795977,128415,1680272154,79416527,panda_K,1.271330650297712,0.22819084146889668,0.021456881479497966,-0.2359756717905626,0.04325221911414288,0.08477029597228072
1680272154.0806901,128416,1680272154,80456462,panda_K,1.2775015406684986,0.22105680682415985,0.02442367784478676,-0.23807001094256386,0.04183013295242159,0.08513981305549109
1680272154.0832841,128417,1680272154,82416763,panda_K,1.278003712176702,0.21209281328564408,0.02128480493934641,-0.24153085371173738,0.0404619619319979,0.08592084982751806
1680272154.0838923,128418,1680272154,83583319,panda_K,1.2743937936331824,0.20858554549321676,0.020383842198612043,-0.2431775721431661,0.04045598464445441,0.08628837322110079
1680272154.085595,128419,1680272154,85443056,panda_K,1.2698091434129999,0.2067529192050944,0.019785319572224097,-0.24462396549076643,0.0405759142780959,0.08662887063438064
1680272154.0879436,128420,1680272154,87366147,panda_K,1.268910722545203,0.20293234631939497,0.035040499118106846,-0.24900789897675402,0.039168979714763005,0.0876229387439359
1680272154.0885253,128421,1680272154,88465123,panda_K,1.263782503941544,0.2067330269552995,0.041824992487250245,-0.24962894509342373,0.039669919768997156,0.08781819386601002
1680272154.0907333,128422,1680272154,90433129,panda_K,1.2593836527217952,0.21180745218810318,0.06736446811910962,-0.25118294614664904,0.04030681311048483,0.088141877853547
1680272154.0924785,128423,1680272154,92381086,panda_K,1.2683251566801086,0.20128720479152695,0.07633243821609935,-0.2548762479402427,0.037873023945241203,0.08876173340590764
1680272154.0935376,128424,1680272154,93405925,panda_K,1.2748485662464255,0.19156102936398572,0.07466934965261869,-0.257281432343933,0.03608484356745215,0.08915314999206377
1680272154.0957994,128425,1680272154,95367575,panda_K,1.2776356831437492,0.18485029749101442,0.07252607390975205,-0.2590719660039,0.03512251224052161,0.08945646982291627
1680272154.0969045,128426,1680272154,96433559,panda_K,1.2801662242888276,0.1756358731935512,0.07960262989748118,-0.2616150748872497,0.03487338198388275,0.08984045841234344
1680272154.098689,128427,1680272154,98447254,panda_K,1.2825773213429161,0.16997841697977953,0.08941853603009607,-0.26305846349809675,0.03533136785570676,0.09000880297295719
1680272154.1009514,128428,1680272154,100364853,panda_K,1.2864355461293573,0.1697893535509562,0.09871799378961695,-0.26285641036104057,0.03619301735812628,0.08979905729533634
1680272154.1015253,128429,1680272154,101396934,panda_K,1.2947297088430878,0.16890549520433945,0.10471602963051922,-0.2626175785287952,0.03575989667856423,0.08966278054579824
1680272154.1037226,128430,1680272154,103390570,panda_K,1.3043442361838926,0.16616282237796093,0.11041253058937038,-0.26254549920051,0.035126806435229765,0.08952303400978573
1680272154.1059537,128431,1680272154,105404332,panda_K,1.319119137902426,0.1609442170254296,0.11833356218376667,-0.2619723925477049,0.03451232630756566,0.08909935025949456
