Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,velocity_0,velocity_1,effort_0,effort_1
1681838880.21672,5224,1681838880,216599364,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023452192544937134,0.023452192544937134,0.0,0.0,0.0,0.0
1681838880.2833774,5225,1681838880,283264277,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.316644,5226,1681838880,316582086,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.3833132,5227,1681838880,383243849,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.4166694,5228,1681838880,416579089,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.483337,5229,1681838880,483247659,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.5166428,5230,1681838880,516579799,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.583343,5231,1681838880,583259026,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.6167016,5232,1681838880,616588418,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.6833143,5233,1681838880,683250172,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.71669,5234,1681838880,716575610,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.7834175,5235,1681838880,783350984,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.8166418,5236,1681838880,816581423,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838880.9833734,5237,1681838880,983254270,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023451536893844604,0.023451536893844604,0.0,0.0,0.0,0.0
1681838881.0167105,5238,1681838881,16606686,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023451536893844604,0.023451536893844604,0.0,0.0,0.0,0.0
1681838881.0833147,5239,1681838881,83246252,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023451536893844604,0.023451536893844604,0.0,0.0,0.0,0.0
1681838881.1166766,5240,1681838881,116607255,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023451536893844604,0.023451536893844604,0.0,0.0,0.0,0.0
1681838881.4167118,5241,1681838881,416594115,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838881.516694,5242,1681838881,516580854,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345186471939087,0.02345186471939087,0.0,0.0,0.0,0.0
1681838881.7166865,5243,1681838881,716583938,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023451536893844604,0.023451536893844604,0.0,0.0,0.0,0.0
1681838881.9166899,5244,1681838881,916617898,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345120906829834,0.02345120906829834,0.0,0.0,0.0,0.0
1681838882.0167053,5245,1681838882,16598058,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345120906829834,0.02345120906829834,0.0,0.0,0.0,0.0
1681838882.1166804,5246,1681838882,116584154,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345120906829834,0.02345120906829834,0.0,0.0,0.0,0.0
1681838882.2167,5247,1681838882,216579102,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345120906829834,0.02345120906829834,0.0,0.0,0.0,0.0
1681838882.2833223,5248,1681838882,283247034,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.316667,5249,1681838882,316585392,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.383337,5250,1681838882,383252126,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.4167056,5251,1681838882,416580334,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.4833298,5252,1681838882,483246740,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.5167289,5253,1681838882,516599525,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.5833473,5254,1681838882,583247441,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.6166656,5255,1681838882,616580109,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023450879380106926,0.023450879380106926,0.0,0.0,0.0,0.0
1681838882.8167353,5256,1681838882,816666435,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02345055155456066,0.02345055155456066,0.0,0.0,0.0,0.0
