Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1681838914.5004132,252664,1681838914,499829572,panda_link0,0.28019399419557,-0.48305222908152456,0.052062565469178895,0.9966884304217791,0.01707183173593559,0.07943436243485559,-0.002468315029581027
1681838914.501452,252665,1681838914,500832231,panda_link0,0.2801951412666243,-0.4830498409459942,0.05206187462154033,0.9966883612166758,0.01707199942891961,0.07943511650566532,-0.002470831112406377
1681838914.507747,252667,1681838914,505829439,panda_link0,0.28019746699070464,-0.48304980351042287,0.0520620401386466,0.9966881715164267,0.017071551613035498,0.07943760889733274,-0.0024703172775863685
1681838914.5082252,252668,1681838914,507817740,panda_link0,0.280195176582119,-0.4830511540567669,0.05206255204871575,0.9966881464558498,0.017062694628954943,0.0794398382320882,-0.0024699310796512984
1681838914.5092914,252669,1681838914,508815901,panda_link0,0.28019251090302866,-0.48305285853848645,0.05206113643301255,0.996688401893271,0.017060490882170005,0.07943714931814098,-0.0024685587589112603
1681838914.5115304,252670,1681838914,510810971,panda_link0,0.2801934533827458,-0.483051734318333,0.05206170407716684,0.9966881986354934,0.017058834576809876,0.07943999655545025,-0.0024704459115088015
1681838914.5127003,252671,1681838914,511812621,panda_link0,0.2801910937551948,-0.4830542600938186,0.05206358503637486,0.9966881300959448,0.017056393741779974,0.07944147206112132,-0.002467502311099829
1681838914.5132258,252672,1681838914,512817859,panda_link0,0.280194381210047,-0.4830543864497191,0.052064538802052904,0.9966879538718445,0.01705972196933227,0.07944298603189631,-0.002466932384381536
1681838914.5155692,252673,1681838914,514816341,panda_link0,0.2801941883164878,-0.48305566855032755,0.05206581707638555,0.9966878054174044,0.01705494648643675,0.07944590575013408,-0.0024659044751267874
1681838914.5171351,252674,1681838914,516815196,panda_link0,0.2801942544956763,-0.4830533742797383,0.052063035653708345,0.9966878728329694,0.01705518839752351,0.0794449426158836,-0.0024680117284333275
1681838914.518437,252675,1681838914,517832368,panda_link0,0.2801899532936234,-0.4830545620316703,0.05206317138228857,0.99668791607919,0.017050437885886886,0.07944540825640398,-0.002468382080759176
1681838914.5194807,252676,1681838914,518830656,panda_link0,0.28019108992001623,-0.48305627052193956,0.05206476544361063,0.9966878338621523,0.01705159453104562,0.07944625209040061,-0.0024664300556237195
1681838914.5211513,252677,1681838914,520809573,panda_link0,0.28019176889635133,-0.4830557851113228,0.05206518934629889,0.9966877135446619,0.0170495082529103,0.07944822239303066,-0.002466006831046462
