Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,velocity_0,velocity_1,effort_0,effort_1
1681838914.5166597,5701,1681838914,516585409,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371422663331032,0.023371422663331032,0.0,0.0,0.0,0.0
1681838914.5833557,5702,1681838914,583248807,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371422663331032,0.023371422663331032,0.0,0.0,0.0,0.0
1681838914.6166787,5703,1681838914,616580494,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371422663331032,0.023371422663331032,0.0,0.0,0.0,0.0
1681838914.7833698,5704,1681838914,783263734,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838914.816721,5705,1681838914,816628075,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838914.9166627,5706,1681838914,916582894,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838914.9833632,5707,1681838914,983256107,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838915.016661,5708,1681838915,16580863,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838915.0833106,5709,1681838915,83247290,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838915.1166425,5710,1681838915,116579414,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023371094837784767,0.023371094837784767,0.0,0.0,0.0,0.0
1681838915.3166783,5711,1681838915,316599378,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370439186692238,0.023370439186692238,0.0,0.0,0.0,0.0
1681838915.4833431,5712,1681838915,483262248,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370439186692238,0.023370439186692238,0.0,0.0,0.0,0.0
1681838915.5166914,5713,1681838915,516582372,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370439186692238,0.023370439186692238,0.0,0.0,0.0,0.0
1681838915.683354,5714,1681838915,683269385,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838915.7166736,5715,1681838915,716579845,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838915.8167088,5716,1681838915,816599587,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838915.8833523,5717,1681838915,883266042,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838915.916647,5718,1681838915,916581583,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838915.9833753,5719,1681838915,983255021,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838916.0167065,5720,1681838916,16587982,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023370109498500824,0.023370109498500824,0.0,0.0,0.0,0.0
1681838916.0833206,5721,1681838916,83248326,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.1166728,5722,1681838916,116585897,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.1833272,5723,1681838916,183248588,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.2169168,5724,1681838916,216820212,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.3833358,5725,1681838916,383253826,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.4166565,5726,1681838916,416580341,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.5166514,5727,1681838916,516579784,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.583328,5728,1681838916,583253272,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.616664,5729,1681838916,616584372,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.7167017,5730,1681838916,716586517,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023369453847408295,0.023369453847408295,0.0,0.0,0.0,0.0
1681838916.8167002,5731,1681838916,816587208,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368796333670616,0.023368796333670616,0.0,0.0,0.0,0.0
1681838916.916663,5732,1681838916,916582212,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368796333670616,0.023368796333670616,0.0,0.0,0.0,0.0
1681838916.983417,5733,1681838916,983253498,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.0166903,5734,1681838917,16583769,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.1166422,5735,1681838917,116579251,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.183319,5736,1681838917,183247828,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.216726,5737,1681838917,216593032,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.283364,5738,1681838917,283255719,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.3166547,5739,1681838917,316582723,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336912415921688,0.02336912415921688,0.0,0.0,0.0,0.0
1681838917.383328,5740,1681838917,383251947,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368796333670616,0.023368796333670616,0.0,0.0,0.0,0.0
1681838917.416675,5741,1681838917,416581029,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368796333670616,0.023368796333670616,0.0,0.0,0.0,0.0
1681838917.483376,5742,1681838917,483270610,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368796333670616,0.023368796333670616,0.0,0.0,0.0,0.0
1681838917.5166526,5743,1681838917,516584254,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368796333670616,0.023368796333670616,0.0,0.0,0.0,0.0
1681838917.716648,5744,1681838917,716583290,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336846850812435,0.02336846850812435,0.0,0.0,0.0,0.0
1681838917.8833637,5745,1681838917,883275569,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336846850812435,0.02336846850812435,0.0,0.0,0.0,0.0
1681838917.91667,5746,1681838917,916594346,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336846850812435,0.02336846850812435,0.0,0.0,0.0,0.0
1681838918.0167024,5747,1681838918,16579888,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336846850812435,0.02336846850812435,0.0,0.0,0.0,0.0
1681838918.1166706,5748,1681838918,116584335,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368140682578087,0.023368140682578087,0.0,0.0,0.0,0.0
1681838918.2167294,5749,1681838918,216647101,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023368140682578087,0.023368140682578087,0.0,0.0,0.0,0.0
1681838918.2833412,5750,1681838918,283251552,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838918.316706,5751,1681838918,316582840,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838918.3833966,5752,1681838918,383248913,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838918.4166672,5753,1681838918,416594951,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838918.6167269,5754,1681838918,616592562,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838918.7833416,5755,1681838918,783254194,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023367155343294144,0.023367155343294144,0.0,0.0,0.0,0.0
1681838918.8166776,5756,1681838918,816598698,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023367155343294144,0.023367155343294144,0.0,0.0,0.0,0.0
1681838918.9167175,5757,1681838918,916581744,,"['panda_finger_joint1', 'panda_finger_joint2']",0.023367155343294144,0.023367155343294144,0.0,0.0,0.0,0.0
1681838919.0167122,5758,1681838919,16595638,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838919.1166751,5759,1681838919,116568833,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838919.1833353,5760,1681838919,183263493,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838919.2166924,5761,1681838919,216583680,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838919.2833576,5762,1681838919,283255454,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
1681838919.316682,5763,1681838919,316587196,,"['panda_finger_joint1', 'panda_finger_joint2']",0.02336748316884041,0.02336748316884041,0.0,0.0,0.0,0.0
