time,dist,gamma,real_dist,tar_dist
0.001,0.06802345176954516,18.174203872680664,0.24007869507236734,0.7974475440378651
0.002,0.06802351001205738,18.17293930053711,0.24007661220509496,0.7974475440378651
0.003,0.0680235974578369,18.171321868896484,0.24007243929944316,0.7974325961754849
0.004,0.06802371407775179,18.16973876953125,0.24006616784099977,0.7974027665875774
0.005,0.06802385977561536,18.1682186126709,0.24005779024285645,0.7973581157812522
0.006,0.06802403438796575,18.166664123535156,0.2400473000858962,0.7972987012127222
0.007,0.06802423768403063,18.165119171142578,0.24003469212776696,0.797224577677486
0.008,0.06802446936574148,18.163707733154297,0.24001996228629158,0.7971357974464489
0.009000000000000001,0.06802472906779392,18.162269592285156,0.24000310762081245,0.7970324103692975
0.010000000000000002,0.06802482280300104,18.160724639892578,0.2399841263141222,0.7969144639705523
0.011000000000000003,0.06802495297557888,17.695938110351562,0.23998915024224782,0.7967820035413044
0.012000000000000004,0.06802503507114603,18.157276153564453,0.23999066640136663,0.7966218942796248
0.013000000000000005,0.06802514871182827,18.166282653808594,0.2400058287221032,0.7964468125137822
0.014000000000000005,0.06802529349581396,18.169910430908203,0.24001854277620482,0.7962797285871485
0.015000000000000006,0.06802546919896026,18.169170379638672,0.240028874447338,0.7960984622455493
0.016000000000000007,0.06802567555892235,18.16765594482422,0.24003683800842113,0.7959031014629058
0.017000000000000008,0.06802591225061178,18.16602325439453,0.24004244266381702,0.7956936761751318
0.01800000000000001,0.068026178883555,18.16434097290039,0.24004569786858343,0.7954702085768257
0.01900000000000001,0.06802647500177096,18.162843704223633,0.24004661392798154,0.7952327189243291
0.02000000000000001,0.06802680008393801,18.16139030456543,0.240045202057037,0.7949812262370913
0.02100000000000001,0.06802715354360898,18.15993881225586,0.24004147437880013,0.7947157484126918
0.022000000000000013,0.06802753472943168,18.158504486083984,0.24003544391611803,0.7944363022732315
0.023000000000000013,0.06802794292537732,18.157062530517578,0.24002712458316255,0.7941429036025208
0.024000000000000014,0.0680283773509715,18.15561294555664,0.2400165311774155,0.7938355671809163
0.025000000000000015,0.06802883716152938,18.154233932495117,0.2400036793721702,0.7935143068186592
0.026000000000000016,0.06802932144839183,18.15283966064453,0.23998858570953296,0.7931791353878599
0.027000000000000017,0.06802982923916068,18.151437759399414,0.23997126759390774,0.7928300648531961
0.028000000000000018,0.0680303594979354,18.15007209777832,0.23995174328594215,0.7924671063013806
0.02900000000000002,0.06803091112554711,18.148719787597656,0.23993003189691414,0.7920902699694514
0.03000000000000002,0.06803148295978909,18.147315979003906,0.23990615338354204,0.7916995652719403
0.03100000000000002,0.06803207377564727,18.145854949951172,0.2398801285432009,0.791295000826966
0.03200000000000002,0.06803268228552306,18.14441680908203,0.23985197900952432,0.7908765844813027
0.03300000000000002,0.06803330713945423,18.143001556396484,0.2398217272483793,0.790444323334474
0.03400000000000002,0.06803394692532881,18.14154624938965,0.23978939655419468,0.7899982237619096
0.035000000000000024,0.06803455948503334,18.140064239501953,0.2397550110466301,0.7895382914372175
0.036000000000000025,0.06803518119560273,18.126903533935547,0.23973960781839831,0.7890645313536093
0.037000000000000026,0.06803581390418234,18.15341567993164,0.23972304589376725,0.7885824932140698
0.03800000000000003,0.06803645651518368,18.133106231689453,0.23970448957281854,0.7880868286474335
0.03900000000000003,0.06803710761340119,18.130905151367188,0.23968388665192897,0.787576621327579
