time,dist,gamma,real_dist,tar_dist,pred_dist
0.002,0.06802353888085752,18.174203872680664,0.24007869507236734,0.7974475440378651,0.24286192655563354
0.004,0.06802377151417,18.17169761657715,0.23929063847390758,0.7974475440378651,0.24279582500457764
0.006,0.06802411996986328,18.168060302734375,0.23850468294226995,0.7973877520329082,0.2426656037569046
0.008,0.06802458238619265,18.165464401245117,0.23772113185575416,0.7972686948669092,0.24247156083583832
0.01,0.0680251559343679,18.162307739257812,0.23694033038318874,0.797090809100509,0.24221552908420563
0.012,0.06802583661495021,18.159465789794922,0.23616260814071405,0.796854523673819,0.24189838767051697
0.014,0.068026619420729,18.156238555908203,0.23538832204033744,0.7965602022967591,0.24152062833309174
0.016,0.06802749822354136,18.153474807739258,0.23461782202309067,0.7962081936360503,0.24108348786830902
0.018000000000000002,0.06802846587324163,18.15033721923828,0.23385147634944814,0.7957987977545684,0.24058791995048523
0.020000000000000004,0.0680295141378159,18.147371292114258,0.23308965107386548,0.7953322968191378,0.24003419280052185
0.022000000000000006,0.06803063376470216,18.144107818603516,0.23233272493323037,0.7948089357186955,0.23942343890666962
0.024000000000000007,0.06803181445174387,18.141124725341797,0.23158107701546715,0.7942289410316276,0.23875625431537628
0.02600000000000001,0.06803304488631097,18.13809585571289,0.23083509549185255,0.7935925099871668,0.23803335428237915
0.02800000000000001,0.06803431273362222,18.13496971130371,0.23009517018036196,0.7928998223190045,0.23725509643554688
0.030000000000000013,0.06803560466263947,18.13178253173828,0.2293592525344329,0.7921510341176761,0.23642238974571228
0.032000000000000015,0.06803690634374565,18.128549575805664,0.22861808234657816,0.791346285347736,0.23553550243377686
0.034000000000000016,0.06803820246654922,18.125347137451172,0.22787089378037823,0.7904856965499343,0.23459561169147491
0.03600000000000002,0.06803947674218183,18.122432708740234,0.22711789678819871,0.7895693736960969,0.23360277712345123
0.03800000000000002,0.06803911613251022,18.119556427001953,0.22635889240147805,0.7885974065364237,0.23255755007266998
0.04000000000000002,0.06803854541380419,-8.908740997314453,0.22578280437444642,0.7875698718059628,0.2315799593925476
0.04200000000000002,0.06803770977585477,16.797269821166992,0.22518077134134523,0.7864075594855987,0.2301911860704422
