Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1680272098.0814083,1,1680272098,80799112,panda_link0,0.33030614177120704,-0.4337854721293233,0.20141247612807336,0.9996717638845578,8.217566286400702e-05,0.0031651970969851445,0.025328362926496192
1680272098.0838227,2,1680272098,82781785,panda_link0,0.3303059072438089,-0.4337873112887748,0.20141404834681176,0.9996716887937067,7.995956121246335e-05,0.003167123676440416,0.025331092762218992
1680272098.0853786,3,1680272098,84806144,panda_link0,0.3303055606535588,-0.43378623780844283,0.20141329992152263,0.9996717067177092,8.381229565531675e-05,0.0031654191425277978,0.02533058600495216
1680272098.0875466,4,1680272098,86826963,panda_link0,0.33030588805298183,-0.43378486165027447,0.2014118709502476,0.9996717784093195,8.093428214123508e-05,0.0031654314283430093,0.025327764361765055
1680272098.0892582,5,1680272098,88796187,panda_link0,0.3303047708610084,-0.4337874326485316,0.20141393773494862,0.9996717361069098,7.865488988146985e-05,0.0031641221231390525,0.025329604728449133
1680272098.0915022,6,1680272098,90785915,panda_link0,0.3303067719034051,-0.43378875265875205,0.20141545646413098,0.9996716555842563,8.078460847371636e-05,0.003167243415592235,0.025332385725157936
1680272098.0931554,7,1680272098,92837010,panda_link0,0.33030522644424154,-0.4337861736104638,0.20141277318829376,0.9996717668171834,7.976598410535904e-05,0.0031649241605654255,0.025328288989981403
1680272098.095405,8,1680272098,94753355,panda_link0,0.33030188215009854,-0.43379068778169994,0.2014136123695822,0.9996716935809988,7.603038875526996e-05,0.003165124140844751,0.025331165854669147
1680272098.0972593,9,1680272098,96114434,panda_link0,0.3303039089931714,-0.43378730988684167,0.20141254266910602,0.9996717269817523,8.008643829011475e-05,0.0031643925449307175,0.025329926596982275
1680272098.098567,10,1680272098,97779885,panda_link0,0.3303016187831067,-0.43378905665869383,0.20141360864244193,0.999671701633152,7.636112602875252e-05,0.003162535423331269,0.02533117041629314
1680272098.0996974,11,1680272098,98820463,panda_link0,0.330302784777783,-0.43378835210356603,0.2014139151751682,0.99967171002522,7.659825246502605e-05,0.00316371133568326,0.025330691673348466
1680272098.1014113,12,1680272098,100832020,panda_link0,0.3303003940791138,-0.43378848289023997,0.20141152984336227,0.9996717674437836,7.429311930149921e-05,0.0031619846640630876,0.02532864803825607
1680272098.1036224,13,1680272098,102824574,panda_link0,0.33030185240405646,-0.43378864725560673,0.20141317549894838,0.9996717197057455,7.691749119883342e-05,0.0031619605670131098,0.025330527269190606
1680272098.1053824,14,1680272098,104744755,panda_link0,0.3303031750064566,-0.4337874542727428,0.20141544461201116,0.9996716772151052,8.086018420712024e-05,0.0031631013637669933,0.025332049412440123
1680272098.106486,15,1680272098,105772397,panda_link0,0.3303022663889283,-0.4337904970449795,0.2014163593919259,0.9996716377273406,7.429709665545944e-05,0.003163344554211794,0.02533359739194769
1680272098.1076536,16,1680272098,106826509,panda_link0,0.3303020587678289,-0.43378976053081375,0.20141417602901107,0.9996716840853564,7.923527248298868e-05,0.0031636030098599684,0.02533172078281962
1680272098.1095974,17,1680272098,108869075,panda_link0,0.33030379661282483,-0.43378805261525344,0.2014143274384267,0.9996716788188784,7.525261172749546e-05,0.0031646675364004444,0.025331807791400106
1680272098.111675,18,1680272098,110772112,panda_link0,0.33030000147705174,-0.4337894605130557,0.20141303885108727,0.9996717195052586,7.281069531058576e-05,0.003162271428328753,0.0253305085129476
1680272098.1133375,19,1680272098,112745294,panda_link0,0.33030365917137205,-0.4337886901615201,0.20141480859154942,0.9996716563003899,7.828636259554326e-05,0.00316486987730482,0.0253326619533988
1680272098.1143973,20,1680272098,113770763,panda_link0,0.3303047542128722,-0.4337865827707766,0.20141318527598245,0.9996717415798533,7.807629419137442e-05,0.0031642327906154927,0.02532937669479362
1680272098.1166637,21,1680272098,115777679,panda_link0,0.33030244196065855,-0.43378955938578745,0.2014133057209197,0.999671714848871,7.564838821110505e-05,0.003165695711692439,0.02533025624044882
1680272098.118361,22,1680272098,117751259,panda_link0,0.3303065012622573,-0.4337849819485387,0.2014125683988864,0.9996717534475278,8.074665520557873e-05,0.003164785402916115,0.025328830896410696
1680272098.1194913,23,1680272098,118778137,panda_link0,0.33030522484007097,-0.4337886107055887,0.2014138959622239,0.9996716956297246,7.980479346709103e-05,0.003165586564132751,0.025331015609220242
1680272098.1211455,24,1680272098,120757110,panda_link0,0.3303051254029177,-0.43378775560770355,0.2014136394340901,0.9996716917549857,8.092511016480111e-05,0.0031643589902594542,0.02533131834577091
1680272098.123396,25,1680272098,122755593,panda_link0,0.3303026843271059,-0.43378862859628886,0.20141306607803144,0.9996717423045489,7.659274928566208e-05,0.0031627445101812374,0.025329538499701904
1680272098.125109,26,1680272098,124731370,panda_link0,0.33030281935332717,-0.4337871537891795,0.20141113900867946,0.9996717853042086,7.983166107000688e-05,0.003163222131144419,0.02532777174278038
1680272098.126229,27,1680272098,125747367,panda_link0,0.33030177603351407,-0.4337894512811236,0.20141255898249283,0.9996717390872052,7.517176805596594e-05,0.0031656342073594092,0.025329308749756512
1680272098.127299,28,1680272098,126772415,panda_link0,0.3303044081754529,-0.43378788009243935,0.20141354870016295,0.9996717276032812,7.802629239548479e-05,0.0031657727808646575,0.025329736030476977
1680272098.1296184,29,1680272098,128738363,panda_link0,0.33030075270173564,-0.4337896338136825,0.20141089846243676,0.9996717828055094,7.67209083910014e-05,0.0031624743740199363,0.025327973355483684
1680272098.131224,30,1680272098,130736312,panda_link0,0.3303022900380961,-0.4337891660807655,0.20141211724614327,0.99967176047272,7.490206840540071e-05,0.00316485902369815,0.025328562385583488
1680272098.1322818,31,1680272098,131742672,panda_link0,0.3303001156871733,-0.4337887350791767,0.20141050835898447,0.9996718004990223,7.417395041422538e-05,0.003162793940547045,0.025327242681850916
1680272098.13345,32,1680272098,132756506,panda_link0,0.33029950137474734,-0.43378947038601684,0.20140938768195304,0.9996718265470629,7.393305073919918e-05,0.00316267255535204,0.025326230402062902
1680272098.1351166,33,1680272098,134770476,panda_link0,0.33030152735647345,-0.43378967004616176,0.20141301732587366,0.9996717310602384,7.800272769366757e-05,0.003163166250657835,0.02532992530538347
1680272098.1377127,34,1680272098,136731155,panda_link0,0.33030224689728344,-0.4337880857105785,0.20141288530622692,0.9996717502382982,7.667500463907392e-05,0.0031633499235628674,0.02532914952792835
1680272098.138615,35,1680272098,137749541,panda_link0,0.33030241864611953,-0.433788075278188,0.20141348566189013,0.999671737626529,7.636709221379859e-05,0.0031633698652172716,0.025329645714564593
1680272098.140305,36,1680272098,139757886,panda_link0,0.3303016213307957,-0.4337884220337207,0.20141252285813602,0.9996717402702591,7.427519807535263e-05,0.0031624338241370772,0.025329664479462964
1680272098.14247,37,1680272098,141750796,panda_link0,0.33030166105961317,-0.43378870789783847,0.20141617538165474,0.9996716552990927,7.592081623429415e-05,0.0031629773492446948,0.025332945032031613
1680272098.1441474,38,1680272098,143751043,panda_link0,0.33030627301350196,-0.4337875812997943,0.20141555807702347,0.9996716754878398,8.079747335278399e-05,0.003165511278643467,0.025331816743986806
1680272098.1463122,39,1680272098,145751901,panda_link0,0.3303016504165507,-0.43379094818405345,0.20141695808372484,0.9996716227320651,7.667505051288551e-05,0.0031641102653626393,0.025334086395822346
1680272098.1474648,40,1680272098,146833926,panda_link0,0.330302473247097,-0.4337869446047238,0.20141323557014082,0.9996717261748045,7.658713814319536e-05,0.003162606609618785,0.02533019231344102
1680272098.1491628,41,1680272098,148770066,panda_link0,0.3303014089334652,-0.4337899178889476,0.2014131478787798,0.9996717240679284,7.39091876945934e-05,0.0031629850155783165,0.025330236169183402
1680272098.151994,42,1680272098,151733630,panda_link0,0.33030248058170175,-0.433790442821902,0.20141509091599305,0.999671653296842,7.888705630047942e-05,0.003163957008064619,0.02533289264466359
1680272098.1531308,43,1680272098,152781994,panda_link0,0.3303046204993481,-0.43378636437579393,0.20141409612503441,0.9996717090266699,7.974512468233111e-05,0.0031638948915867658,0.02533069844340746
1680272098.1569822,44,1680272098,155742711,panda_link0,0.3303034819747234,-0.4337890827556211,0.20141397987158338,0.9996716865018122,7.513615783005753e-05,0.0031650185927735866,0.025331461082908697
1680272098.1572292,45,1680272098,156791650,panda_link0,0.33030171805547803,-0.4337866679081125,0.2014094696987363,0.9996718274511063,7.379944940381084e-05,0.003163783631702607,0.02532605633427361
1680272098.159464,46,1680272098,158756946,panda_link0,0.3303037392109377,-0.4337881977115703,0.20141320039045427,0.9996717412987084,7.531888551225891e-05,0.003164543850078981,0.025329357279669704
1680272098.1615803,47,1680272098,160745458,panda_link0,0.33030500231789095,-0.433786552818079,0.2014106947564324,0.9996717894255354,7.981511976046434e-05,0.003164369663015264,0.02532746578389273
1680272098.1632338,48,1680272098,162800326,panda_link0,0.33030583206032427,-0.4337882693931743,0.20141325490369258,0.9996717236674821,8.088960644603334e-05,0.003166460803405176,0.02532979637975983
1680272098.1654162,49,1680272098,164735326,panda_link0,0.33030479554135356,-0.43378640081843933,0.20141260497787847,0.9996717554102973,8.21326297918169e-05,0.003163909882503661,0.025328858353329264
1680272098.167321,50,1680272098,166795594,panda_link0,0.33030376938998085,-0.43378724069079466,0.20141278520555259,0.9996717647649642,7.616572883709243e-05,0.003164549366544501,0.025328427900222272
1680272098.168329,51,1680272098,167806576,panda_link0,0.330307919098358,-0.4337853741772706,0.2014127069343516,0.9996717552762094,8.323986495995374e-05,0.003166153779978328,0.025328579637427906
1680272098.1705532,52,1680272098,169804464,panda_link0,0.33030370935673736,-0.43378747558398256,0.20141186290800814,0.9996717774570035,8.021813985326475e-05,0.0031637602509591257,0.025328013032667494
1680272098.1722558,53,1680272098,171782944,panda_link0,0.33030487084687693,-0.4337861597920164,0.20141160733229574,0.9996717890689422,7.990374374510257e-05,0.003163369216793608,0.02532760455301628
1680272098.1734653,54,1680272098,172801271,panda_link0,0.33030026442660787,-0.43378888060484755,0.20141156615964026,0.9996717865358173,7.559400716974162e-05,0.003162678630711647,0.025327804007033293
1680272098.1756444,55,1680272098,174746739,panda_link0,0.3303020766808465,-0.43378966250916834,0.2014134536701606,0.9996717145509846,7.609932474997656e-05,0.003163981077009326,0.02533048087656991
1680272098.1760874,56,1680272098,175760073,panda_link0,0.33030254208864085,-0.4337883017038153,0.20141358949766514,0.9996717272524996,7.551908431779902e-05,0.003162881203620423,0.02533011870225879
1680272098.1771774,57,1680272098,176799787,panda_link0,0.3302996704921373,-0.4337885585909213,0.20141190852338448,0.9996717721739997,7.584741272987974e-05,0.0031615085084402686,0.025328516176876828
